datetime,average
2013-12-29 07:32:52,726.76
2013-12-29 07:34:46,721.18
2013-12-29 07:36:43,723.68
2013-12-29 07:37:46,721.15
2013-12-29 07:39:49,722.95
2013-12-29 07:41:46,723.58
2013-12-29 07:43:48,719.41
2013-12-29 07:45:49,720.5
2013-12-29 07:47:45,721.11
2013-12-29 07:48:50,722.08
2013-12-29 07:50:45,721.46
2013-12-29 07:51:46,721.38
2013-12-29 07:53:46,720.91
2013-12-29 07:54:53,723.62
2013-12-29 07:56:46,724.36
2013-12-29 07:57:47,722.13
2013-12-29 07:58:49,722.45
2013-12-29 08:00:50,722.41
2013-12-29 08:01:51,724.26
2013-12-29 08:03:44,723.65
2013-12-29 08:04:51,723.24
2013-12-29 08:06:46,723.3
2013-12-29 08:08:48,724.03
2013-12-29 08:10:45,723.98
2013-12-29 08:11:47,724.35
2013-12-29 08:13:45,723.23
2013-12-29 08:14:50,728.46
2013-12-29 08:16:47,725.27
2013-12-29 08:17:50,725.46
2013-12-29 08:19:49,728.03
2013-12-29 08:21:47,727.62
2013-12-29 08:22:50,727.04
2013-12-29 08:23:53,728.0
2013-12-29 08:25:49,725.79
2013-12-29 08:27:53,724.65
2013-12-29 08:29:55,725.04
2013-12-29 08:31:48,725.74
2013-12-29 08:33:47,726.98
2013-12-29 08:34:48,727.5
2013-12-29 08:36:48,725.59
2013-12-29 08:38:50,728.26
2013-12-29 08:40:48,726.52
2013-12-29 08:42:46,724.48
2013-12-29 08:43:48,726.84
2013-12-29 08:45:51,726.69
2013-12-29 08:47:50,724.66
2013-12-29 08:48:52,727.14
2013-12-29 08:50:54,725.07
2013-12-29 08:52:49,724.95
2013-12-29 08:54:45,726.95
2013-12-29 08:55:56,725.32
2013-12-29 08:57:47,725.94
2013-12-29 08:58:54,726.43
2013-12-29 09:00:48,725.72
2013-12-29 09:01:52,725.96
2013-12-29 09:02:53,725.29
2013-12-29 09:04:47,724.73
2013-12-29 09:05:53,725.08
2013-12-29 09:06:54,726.11
2013-12-29 09:08:47,725.05
2013-12-29 09:09:48,725.04
2013-12-29 09:11:48,726.34
2013-12-29 09:12:49,724.84
2013-12-29 09:13:51,726.35
2013-12-29 09:15:51,724.58
2013-12-29 09:17:51,724.56
2013-12-29 09:19:47,725.49
2013-12-29 09:20:50,724.78
2013-12-29 09:22:51,724.93
2013-12-29 09:24:50,724.45
2013-12-29 09:25:51,724.69
2013-12-29 09:27:51,726.15
2013-12-29 09:28:54,724.74
2013-12-29 09:30:46,723.61
2013-12-29 09:31:48,722.79
2013-12-29 09:32:53,724.52
2013-12-29 09:34:46,723.98
2013-12-29 09:35:48,722.72
2013-12-29 09:36:59,722.73
2013-12-29 09:38:47,722.73
2013-12-29 09:39:49,722.71
2013-12-29 09:40:54,724.57
2013-12-29 09:42:53,723.79
2013-12-29 09:44:56,722.18
2013-12-29 09:46:47,722.08
2013-12-29 09:47:53,721.46
2013-12-29 09:49:47,721.78
2013-12-29 09:50:48,724.0
2013-12-29 09:52:47,720.57
2013-12-29 09:54:49,720.76
2013-12-29 09:56:49,723.89
2013-12-29 09:58:47,723.35
2013-12-29 09:59:48,721.45
2013-12-29 10:01:47,723.24
2013-12-29 10:02:48,720.72
2013-12-29 10:04:53,720.81
2013-12-29 10:06:48,722.31
2013-12-29 10:08:50,721.88
2013-12-29 10:10:51,720.1
2013-12-29 10:11:52,721.57
2013-12-29 10:13:45,722.56
2013-12-29 10:15:48,720.86
2013-12-29 10:16:50,722.34
2013-12-29 10:18:47,721.28
2013-12-29 10:19:49,721.59
2013-12-29 10:20:53,720.62
2013-12-29 10:21:54,722.82
2013-12-29 10:23:54,722.32
2013-12-29 10:25:54,728.46
2013-12-29 10:27:51,719.65
2013-12-29 10:28:55,721.55
2013-12-29 10:30:54,719.98
2013-12-29 10:32:53,720.84
2013-12-29 10:34:52,721.11
2013-12-29 10:36:51,723.19
2013-12-29 10:38:55,721.24
2013-12-29 10:40:53,721.33
2013-12-29 10:42:48,723.48
2013-12-29 10:43:52,721.39
2013-12-29 10:44:53,723.5
2013-12-29 10:46:54,723.52
2013-12-29 10:48:49,721.42
2013-12-29 10:50:55,720.75
2013-12-29 10:52:49,723.31
2013-12-29 10:53:50,721.45
2013-12-29 10:55:51,721.08
2013-12-29 10:57:57,721.12
2013-12-29 10:59:47,719.87
2013-12-29 11:00:51,720.19
2013-12-29 11:01:52,720.64
2013-12-29 11:03:47,722.89
2013-12-29 11:04:54,722.99
2013-12-29 11:06:52,723.02
2013-12-29 11:07:55,723.51
2013-12-29 11:09:48,723.86
2013-12-29 11:10:50,723.86
2013-12-29 11:11:57,723.65
2013-12-29 11:13:52,723.68
2013-12-29 11:15:51,720.79
2013-12-29 11:17:54,721.32
2013-12-29 11:19:51,723.98
2013-12-29 11:20:52,723.39
2013-12-29 11:21:56,723.03
2013-12-29 11:23:53,723.39
2013-12-29 11:25:53,720.4
2013-12-29 11:26:54,719.91
2013-12-29 11:28:56,721.22
2013-12-29 11:30:52,720.25
2013-12-29 11:32:55,720.49
2013-12-29 11:34:55,721.09
2013-12-29 11:36:52,723.34
2013-12-29 11:37:54,723.62
2013-12-29 11:39:53,723.2
2013-12-29 11:41:52,723.27
2013-12-29 11:43:54,724.02
2013-12-29 11:45:55,723.86
2013-12-29 11:47:57,724.25
2013-12-29 11:49:51,724.73
2013-12-29 11:50:54,724.15
2013-12-29 11:52:53,724.35
2013-12-29 11:54:54,722.34
2013-12-29 11:56:54,726.15
2013-12-29 11:57:56,726.31
2013-12-29 11:59:00,725.21
2013-12-29 12:00:53,727.24
2013-12-29 12:02:52,728.86
2013-12-29 12:03:56,728.57
2013-12-29 12:05:52,726.16
2013-12-29 12:06:55,726.93
2013-12-29 12:08:50,726.57
2013-12-29 12:10:53,727.42
2013-12-29 12:12:50,726.97
2013-12-29 12:13:54,728.75
2013-12-29 12:15:56,728.97
2013-12-29 12:17:49,728.57
2013-12-29 12:18:56,728.44
2013-12-29 12:20:50,725.82
2013-12-29 12:21:51,725.58
2013-12-29 12:22:53,728.01
2013-12-29 12:24:55,726.02
2013-12-29 12:26:51,728.08
2013-12-29 12:27:55,728.83
2013-12-29 12:29:54,727.8
2013-12-29 12:31:51,728.81
2013-12-29 12:33:50,728.07
2013-12-29 12:35:53,726.15
2013-12-29 12:37:10,725.97
2013-12-29 12:39:08,729.44
2013-12-29 12:40:11,728.31
2013-12-29 12:42:06,726.93
2013-12-29 12:43:12,727.15
2013-12-29 12:45:08,727.16
2013-12-29 12:47:07,726.75
2013-12-29 12:49:07,728.06
2013-12-29 12:51:07,727.6
2013-12-29 12:53:09,728.81
2013-12-29 12:55:08,729.56
2013-12-29 12:56:11,729.56
2013-12-29 12:58:07,728.5
2013-12-29 12:59:09,729.04
2013-12-29 13:00:10,726.49
2013-12-29 13:02:07,726.02
2013-12-29 13:04:11,726.04
2013-12-29 13:06:08,728.46
2013-12-29 13:08:11,728.06
2013-12-29 13:10:10,725.1
2013-12-29 13:12:07,725.03
2013-12-29 13:13:11,726.13
2013-12-29 13:15:10,726.53
2013-12-29 13:16:13,727.67
2013-12-29 13:18:11,727.49
2013-12-29 13:20:11,727.15
2013-12-29 13:22:11,723.52
2013-12-29 13:23:14,724.36
2013-12-29 13:24:17,724.51
2013-12-29 13:26:09,724.89
2013-12-29 13:27:11,725.75
2013-12-29 13:28:12,725.46
2013-12-29 13:30:12,726.3
2013-12-29 13:32:11,725.78
2013-12-29 13:34:13,727.53
2013-12-29 13:36:13,724.55
2013-12-29 13:38:10,727.35
